epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.894,0.9872,1.25831,2.81812,0.97046,0,0.79344,0.86993,0.90058,0.69818,0.79344,0.86993,0.90058,0.69386,0.82775,1.0935,1.30828,0.87776,0,0.000661939,0.000661939,0.000661939
2,34.5515,0.96345,1.20245,1.30565,0.95359,0,0.847,0.87312,0.90632,0.67234,0.847,0.87312,0.90648,0.66039,0.89634,1.14221,1.03908,0.93546,0,0.00131545,0.00131545,0.00131545
3,51.513,0.9589,1.15167,1.2136,0.95307,0,0.84993,0.8731,0.90505,0.66989,0.84993,0.8731,0.90505,0.70387,0.91707,1.06106,0.97491,0.93987,0,0.00195577,0.00195577,0.00195577
4,68.5163,0.97975,1.24887,1.23605,0.9548,0,0.75274,0.8854,0.89343,0.64669,0.75339,0.88677,0.89597,0.67694,0.91564,1.11272,0.92755,0.93619,0,0.0019406,0.0019406,0.0019406
5,85.4529,0.92359,1.08765,1.04509,0.93828,0,0.87312,0.87858,0.93912,0.72336,0.87312,0.87858,0.93912,0.70856,0.81702,1.04157,0.87093,0.89416,0,0.0019208,0.0019208,0.0019208
6,102.258,0.86078,1.03247,1.08384,0.91796,0,0.8344,0.88677,0.91801,0.72877,0.8344,0.88677,0.91801,0.74612,0.80355,0.99455,0.76838,0.88372,0,0.001901,0.001901,0.001901
7,119.053,0.87171,1.10417,0.9888,0.92773,0,0.82607,0.92497,0.93399,0.74308,0.82607,0.92497,0.93418,0.74558,0.81028,1.0083,0.7718,0.89526,0,0.0018812,0.0018812,0.0018812
8,135.468,0.87478,1.06138,0.92171,0.92971,0,0.87726,0.87722,0.9381,0.72259,0.87726,0.87722,0.93841,0.73802,0.82605,1.01269,0.74355,0.90766,0,0.0018614,0.0018614,0.0018614
9,152.21,0.85039,1.06726,0.87189,0.92544,0,0.88395,0.89768,0.95245,0.74967,0.88395,0.89768,0.95245,0.75359,0.77597,0.97396,0.63922,0.90081,0,0.0018416,0.0018416,0.0018416
10,168.923,0.83281,1.00511,0.8175,0.92041,0,0.87393,0.91814,0.95275,0.7366,0.87393,0.91814,0.9526,0.73269,0.80181,1.04179,0.76795,0.90553,0,0.0018218,0.0018218,0.0018218
11,185.712,0.84431,1.03888,1.02908,0.92193,0,0.86097,0.87863,0.94042,0.74315,0.84977,0.89495,0.94075,0.73085,0.74905,0.96864,0.7412,0.88381,0,0.001802,0.001802,0.001802
12,202.516,0.84311,1.03016,0.88933,0.91743,0,0.85359,0.8988,0.93902,0.74585,0.85359,0.8988,0.93873,0.74822,0.75316,0.97436,0.66412,0.88683,0,0.0017822,0.0017822,0.0017822
13,219.244,0.82796,1.1058,0.9091,0.92382,0,0.82347,0.87184,0.89392,0.71252,0.82347,0.87184,0.89392,0.71853,0.77087,1.01284,0.71317,0.89156,0,0.0017624,0.0017624,0.0017624
14,236.023,0.82035,1.0055,0.85144,0.91966,0,0.8627,0.92575,0.93871,0.74378,0.8627,0.92575,0.93871,0.73206,0.74584,0.96756,0.6843,0.88953,0,0.0017426,0.0017426,0.0017426
15,252.66,0.81857,1.03568,0.79472,0.91923,0,0.90188,0.9045,0.96183,0.76268,0.90188,0.9045,0.96183,0.75276,0.75949,0.99796,0.61636,0.88375,0,0.0017228,0.0017228,0.0017228
16,268.899,0.8091,1.00179,0.96983,0.89577,0,0.8892,0.89776,0.95362,0.77104,0.8892,0.89776,0.95362,0.76794,0.74956,0.95433,0.58971,0.88371,0,0.001703,0.001703,0.001703
17,285.242,0.79886,1.02369,0.70627,0.91349,0,0.88855,0.88099,0.93732,0.76781,0.88855,0.88099,0.93732,0.75298,0.7181,0.95298,0.60244,0.86551,0,0.0016832,0.0016832,0.0016832
18,302.024,0.78904,0.97146,0.67597,0.89381,0,0.88443,0.91542,0.96011,0.76762,0.88443,0.91542,0.95995,0.7739,0.7673,0.95678,0.58042,0.87916,0,0.0016634,0.0016634,0.0016634
19,318.72,0.8321,1.04536,0.72806,0.91127,0,0.83489,0.91405,0.94538,0.75319,0.83489,0.91405,0.94538,0.75034,0.74558,0.9385,0.61191,0.87483,0,0.0016436,0.0016436,0.0016436
20,335.394,0.78223,0.95883,0.73571,0.88298,0,0.88183,0.91678,0.95577,0.76254,0.88183,0.91678,0.95577,0.75189,0.75887,0.96781,0.58572,0.87819,0,0.0016238,0.0016238,0.0016238
21,351.577,0.78842,0.96585,0.73988,0.90165,0,0.86354,0.92497,0.95502,0.76382,0.86354,0.92497,0.95502,0.74069,0.75141,0.96945,0.56382,0.87643,0,0.001604,0.001604,0.001604
22,367.757,0.79846,0.99662,0.70739,0.90636,0,0.8783,0.90859,0.95233,0.77605,0.8783,0.90859,0.95233,0.7659,0.71921,0.92329,0.56871,0.87219,0,0.0015842,0.0015842,0.0015842
23,384.561,0.76857,0.95808,0.66625,0.89247,0,0.91558,0.88777,0.95326,0.77504,0.91558,0.88777,0.95326,0.76174,0.71315,0.92519,0.54822,0.86895,0,0.0015644,0.0015644,0.0015644
24,401.516,0.79471,0.98479,0.76507,0.90308,0,0.87185,0.90177,0.94058,0.76308,0.87185,0.90177,0.94056,0.73208,0.72055,0.95658,0.60173,0.87097,0,0.0015446,0.0015446,0.0015446
25,418.864,0.78221,0.94201,0.68172,0.89595,0,0.89928,0.89086,0.96206,0.78494,0.89928,0.89086,0.96206,0.77068,0.7223,0.91945,0.61146,0.87297,0,0.0015248,0.0015248,0.0015248
26,435.781,0.76926,0.96885,0.67575,0.89778,0,0.88537,0.90619,0.95445,0.77618,0.88537,0.90619,0.95445,0.7563,0.72914,0.93844,0.56626,0.87696,0,0.001505,0.001505,0.001505
27,452.763,0.79646,0.9813,0.64502,0.90407,0,0.89276,0.91814,0.96013,0.78251,0.89276,0.91814,0.96013,0.78162,0.7207,0.91683,0.52169,0.87335,0,0.0014852,0.0014852,0.0014852
28,468.966,0.77061,0.97715,0.7793,0.89725,0,0.87666,0.92087,0.95675,0.76596,0.87666,0.92087,0.95675,0.76269,0.73997,0.91564,0.58529,0.87561,0,0.0014654,0.0014654,0.0014654
29,486.041,0.77627,0.95504,0.77254,0.88412,0,0.86037,0.88269,0.92103,0.7483,0.86037,0.88269,0.92103,0.74715,0.73519,0.93264,0.60751,0.87122,0,0.0014456,0.0014456,0.0014456
30,503.056,0.75662,0.92303,0.66913,0.89056,0,0.89426,0.91269,0.96383,0.76972,0.89426,0.91269,0.96383,0.78286,0.75244,0.93057,0.54751,0.87996,0,0.0014258,0.0014258,0.0014258
31,519.931,0.73678,0.92491,0.87945,0.87899,0,0.90702,0.90493,0.96173,0.77466,0.90702,0.90493,0.96173,0.77799,0.7077,0.88698,0.53742,0.86537,0,0.001406,0.001406,0.001406
32,536.856,0.75639,0.93396,0.7665,0.90027,0,0.92023,0.89086,0.95821,0.77186,0.92023,0.89086,0.95821,0.77523,0.76839,0.94905,0.55017,0.88029,0,0.0013862,0.0013862,0.0013862
33,553.11,0.74483,0.9406,0.62351,0.89094,0,0.91583,0.91542,0.96643,0.78687,0.91583,0.91542,0.96643,0.78475,0.7226,0.91614,0.51958,0.87073,0,0.0013664,0.0013664,0.0013664
34,569.543,0.74323,0.93179,0.58622,0.88667,0,0.92122,0.90927,0.96894,0.79178,0.92122,0.90927,0.96894,0.77928,0.70172,0.90354,0.52712,0.86358,0,0.0013466,0.0013466,0.0013466
35,585.981,0.7472,0.94261,0.61801,0.89247,0,0.89592,0.91132,0.9603,0.77967,0.89592,0.91132,0.9603,0.75761,0.70082,0.92656,0.55315,0.86732,0,0.0013268,0.0013268,0.0013268
36,602.942,0.73975,0.9173,0.60385,0.88313,0,0.92564,0.90041,0.96529,0.78984,0.92564,0.90041,0.96529,0.79089,0.70368,0.90626,0.50039,0.86358,0,0.001307,0.001307,0.001307
37,620.036,0.72875,0.91359,0.61092,0.87576,0,0.89289,0.89842,0.95914,0.77024,0.89289,0.89842,0.95914,0.76749,0.7282,0.94733,0.53713,0.87487,0,0.0012872,0.0012872,0.0012872
38,637.028,0.73177,0.87171,0.57025,0.87964,0,0.89709,0.92758,0.96359,0.77445,0.89709,0.92758,0.96359,0.76366,0.72814,0.9153,0.53446,0.87271,0,0.0012674,0.0012674,0.0012674
39,654.161,0.7245,0.89153,0.58999,0.88553,0,0.91634,0.91154,0.96445,0.77766,0.91634,0.91154,0.96445,0.77642,0.73402,0.93769,0.50743,0.87534,0,0.0012476,0.0012476,0.0012476
40,671.109,0.69612,0.88406,0.56586,0.87056,0,0.91609,0.9235,0.96929,0.78618,0.91609,0.9235,0.96929,0.77081,0.70636,0.91438,0.51137,0.86666,0,0.0012278,0.0012278,0.0012278
41,688.017,0.72645,0.91066,0.57719,0.88114,0,0.93178,0.89443,0.96768,0.79793,0.93178,0.89443,0.96768,0.79507,0.69735,0.88677,0.50437,0.8584,0,0.001208,0.001208,0.001208
42,705.011,0.7156,0.8858,0.57255,0.87804,0,0.9315,0.90899,0.971,0.7938,0.9315,0.90899,0.971,0.79752,0.72651,0.92671,0.48018,0.87149,0,0.0011882,0.0011882,0.0011882
43,721.813,0.71348,0.88979,0.55039,0.8817,0,0.93445,0.91678,0.96502,0.78992,0.93445,0.91678,0.96502,0.78837,0.69841,0.88127,0.49187,0.86052,0,0.0011684,0.0011684,0.0011684
44,738.761,0.72002,0.89741,0.52785,0.87544,0,0.90006,0.94952,0.969,0.79495,0.90006,0.94952,0.969,0.76723,0.68373,0.90275,0.48639,0.86055,0,0.0011486,0.0011486,0.0011486
45,755.35,0.69911,0.86385,1.4238,0.87498,0,0.89571,0.91392,0.96462,0.77621,0.89571,0.91392,0.96462,0.76188,0.71273,0.93401,0.52008,0.86797,0,0.0011288,0.0011288,0.0011288
46,771.991,0.71128,0.89396,0.54646,0.87629,0,0.9217,0.93179,0.96372,0.7989,0.9217,0.93179,0.96372,0.78646,0.67141,0.87459,0.47874,0.85302,0,0.001109,0.001109,0.001109
47,788.414,0.70977,0.90216,0.53555,0.87692,0,0.89519,0.92497,0.96379,0.78871,0.89519,0.92497,0.96379,0.77673,0.69341,0.90375,0.51,0.85946,0,0.0010892,0.0010892,0.0010892
48,805.258,0.70036,0.88754,0.555,0.87217,0,0.9131,0.92224,0.96962,0.78923,0.9131,0.92224,0.96962,0.78478,0.70263,0.90063,0.47812,0.85874,0,0.0010694,0.0010694,0.0010694
49,821.813,0.71014,0.9188,0.55383,0.88047,0,0.92471,0.92153,0.96709,0.80153,0.92471,0.92153,0.96709,0.79685,0.67916,0.87522,0.47484,0.85743,0,0.0010496,0.0010496,0.0010496
50,838.759,0.70529,0.89828,0.55946,0.87787,0,0.91271,0.92769,0.96661,0.78556,0.91271,0.92769,0.96661,0.7858,0.69255,0.88921,0.48766,0.86325,0,0.0010298,0.0010298,0.0010298
51,855.639,0.68252,0.84936,0.50443,0.86821,0,0.9226,0.92633,0.96911,0.79801,0.9226,0.92633,0.96911,0.78175,0.66971,0.88177,0.48796,0.85517,0,0.00101,0.00101,0.00101
52,872.637,0.69946,0.86549,0.52713,0.87675,0,0.94684,0.90314,0.97485,0.80886,0.94684,0.90314,0.97485,0.78881,0.68077,0.88471,0.4672,0.86121,0,0.0009902,0.0009902,0.0009902
53,889.599,0.68872,0.85328,0.51365,0.87229,0,0.92681,0.90314,0.96731,0.8007,0.92681,0.90314,0.96731,0.78933,0.68158,0.88447,0.47013,0.8609,0,0.0009704,0.0009704,0.0009704
54,906.675,0.67428,0.85586,0.61948,0.86385,0,0.89735,0.91542,0.96513,0.7819,0.89735,0.91542,0.96513,0.76896,0.69344,0.89988,0.52145,0.86158,0,0.0009506,0.0009506,0.0009506
55,923.499,0.69999,0.88702,0.54932,0.86119,0,0.91504,0.90587,0.96526,0.78753,0.91504,0.90587,0.96526,0.77723,0.69445,0.89607,0.48103,0.8616,0,0.0009308,0.0009308,0.0009308
56,940.341,0.68804,0.84444,0.54027,0.86902,0,0.91208,0.91269,0.96589,0.79549,0.91208,0.91269,0.96589,0.78849,0.67634,0.86429,0.46737,0.85614,0,0.000911,0.000911,0.000911
57,957.188,0.68609,0.85049,0.50797,0.86728,0,0.90682,0.90723,0.96502,0.79584,0.90682,0.90723,0.96502,0.78726,0.6763,0.8604,0.49214,0.85373,0,0.0008912,0.0008912,0.0008912
58,974.354,0.69164,0.8533,0.52506,0.87174,0,0.92057,0.93997,0.96747,0.80038,0.92057,0.93997,0.96747,0.80341,0.68213,0.86019,0.46482,0.85454,0,0.0008714,0.0008714,0.0008714
59,991.787,0.69406,0.84574,0.51364,0.86673,0,0.91871,0.92512,0.97236,0.79544,0.91871,0.92512,0.97236,0.79297,0.6939,0.87639,0.46892,0.85905,0,0.0008516,0.0008516,0.0008516
60,1008.78,0.70007,0.85512,0.51147,0.87346,0,0.92333,0.92224,0.9704,0.79349,0.92333,0.92224,0.9704,0.80189,0.69993,0.86897,0.46194,0.86059,0,0.0008318,0.0008318,0.0008318
61,1025.32,0.69924,0.86712,0.51116,0.87701,0,0.89655,0.92224,0.96647,0.78141,0.89655,0.92224,0.96647,0.78612,0.69342,0.88735,0.50378,0.86057,0,0.000812,0.000812,0.000812
62,1042.22,0.68385,0.83646,0.49189,0.86456,0,0.91336,0.93489,0.97115,0.79453,0.91336,0.93489,0.97115,0.79615,0.69208,0.88309,0.47006,0.85924,0,0.0007922,0.0007922,0.0007922
63,1059.23,0.67543,0.83731,0.49318,0.8531,0,0.92549,0.91269,0.96989,0.80966,0.92549,0.91269,0.96989,0.79412,0.65711,0.86392,0.44921,0.84693,0,0.0007724,0.0007724,0.0007724
64,1076.04,0.6827,0.83615,0.56774,0.86135,0,0.91815,0.93452,0.97297,0.80454,0.91815,0.93452,0.97297,0.78311,0.65468,0.85851,0.4681,0.85011,0,0.0007526,0.0007526,0.0007526
65,1092.46,0.68582,0.85433,0.49411,0.86856,0,0.91508,0.94081,0.97066,0.8075,0.91508,0.94081,0.97066,0.79668,0.65434,0.84873,0.43428,0.84881,0,0.0007328,0.0007328,0.0007328
66,1108.95,0.68344,0.84926,0.49396,0.86252,0,0.9237,0.94407,0.97604,0.81321,0.9237,0.94407,0.97604,0.78775,0.66205,0.86464,0.43757,0.84994,0,0.000713,0.000713,0.000713
67,1125.97,0.67071,0.86023,0.48418,0.86841,0,0.94719,0.91678,0.97502,0.80893,0.94719,0.91678,0.97502,0.79387,0.66043,0.87154,0.44671,0.85255,0,0.0006932,0.0006932,0.0006932
68,1142.64,0.65789,0.84205,0.47409,0.86745,0,0.92573,0.93452,0.97534,0.8097,0.92573,0.93452,0.97534,0.79575,0.66559,0.86432,0.44154,0.85288,0,0.0006734,0.0006734,0.0006734
69,1159.49,0.66553,0.82191,0.46118,0.86364,0,0.92847,0.92497,0.97419,0.80976,0.92847,0.92497,0.97419,0.7934,0.65983,0.8632,0.45366,0.85203,0,0.0006536,0.0006536,0.0006536
70,1176.54,0.66457,0.82749,0.48977,0.8633,0,0.93516,0.9236,0.97162,0.8062,0.93516,0.9236,0.97162,0.80348,0.68744,0.85355,0.46909,0.85535,0,0.0006338,0.0006338,0.0006338
71,1193.66,0.66003,0.82756,0.46157,0.86436,0,0.91963,0.93452,0.97066,0.81211,0.91963,0.93452,0.97066,0.80116,0.65285,0.8374,0.43859,0.84831,0,0.000614,0.000614,0.000614
72,1210.05,0.64456,0.81962,0.49695,0.85727,0,0.92396,0.93179,0.97393,0.81792,0.92396,0.93179,0.97393,0.80011,0.64272,0.84513,0.43075,0.84811,0,0.0005942,0.0005942,0.0005942
73,1226.46,0.6538,0.8282,0.46947,0.8642,0,0.9444,0.92695,0.97539,0.8205,0.9444,0.92695,0.97539,0.80183,0.65299,0.84214,0.43909,0.84573,0,0.0005744,0.0005744,0.0005744
74,1242.92,0.67548,0.83173,0.47499,0.8664,0,0.9426,0.91858,0.97482,0.8084,0.9426,0.91858,0.97482,0.8094,0.68939,0.85951,0.44188,0.85412,0,0.0005546,0.0005546,0.0005546
75,1259.91,0.665,0.82208,0.47243,0.86096,0,0.93775,0.92484,0.97624,0.81563,0.93775,0.92484,0.97624,0.80372,0.6443,0.84578,0.43257,0.84623,0,0.0005348,0.0005348,0.0005348
76,1276.87,0.63444,0.81556,0.45155,0.85921,0,0.93727,0.93763,0.97519,0.81998,0.93727,0.93763,0.97519,0.8084,0.65448,0.84575,0.40618,0.84531,0,0.000515,0.000515,0.000515
77,1293.97,0.67215,0.87341,0.46352,0.87154,0,0.94124,0.92497,0.9747,0.80944,0.94124,0.92497,0.9747,0.78818,0.65685,0.85813,0.43601,0.84969,0,0.0004952,0.0004952,0.0004952
78,1310.88,0.65506,0.83219,0.4637,0.86321,0,0.94038,0.92535,0.97107,0.81041,0.94038,0.92535,0.97107,0.80674,0.65691,0.84596,0.41753,0.84951,0,0.0004754,0.0004754,0.0004754
79,1327.44,0.65507,0.8211,0.44958,0.86261,0,0.94484,0.91405,0.97485,0.81151,0.94484,0.91405,0.97485,0.79393,0.65388,0.85863,0.42814,0.84758,0,0.0004556,0.0004556,0.0004556
80,1344.45,0.63105,0.79826,0.45138,0.85489,0,0.93921,0.92743,0.97451,0.81768,0.93921,0.92743,0.97451,0.78703,0.64077,0.86564,0.41208,0.84623,0,0.0004358,0.0004358,0.0004358
81,1361.4,0.63511,0.79323,0.43983,0.85305,0,0.91092,0.9347,0.96647,0.80829,0.91092,0.9347,0.96647,0.80029,0.65597,0.84178,0.43216,0.84587,0,0.000416,0.000416,0.000416
82,1377.79,0.63352,0.80557,0.43654,0.85712,0,0.92877,0.92769,0.97088,0.80691,0.92877,0.92769,0.97088,0.80191,0.66671,0.85403,0.4242,0.8477,0,0.0003962,0.0003962,0.0003962
