epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0089,1.87988,2.86227,5.58481,1.02232,0,0.00649,0.35577,0.1615,0.09644,0.00693,0.37981,0.16604,0.10792,0.97988,1.61591,12.5869,0.74909,0,0.000651515,0.000651515,0.000651515
2,10.0915,1.73403,2.22686,5.00996,0.95924,0,0.00553,0.30288,0.01484,0.00796,0.00614,0.33654,0.01798,0.00943,0.9714,1.49183,12.5473,0.76016,0,0.00129208,0.00129208,0.00129208
3,14.1815,1.76747,2.17266,4.64704,0.96854,0,0.78549,0.21154,0.23437,0.14607,0.83701,0.21154,0.23573,0.15353,1.25694,1.66546,10.4899,0.90098,0,0.00190625,0.00190625,0.00190625
4,18.3288,1.86291,2.04188,4.76788,1.03349,0,0.14965,0.30288,0.08423,0.03367,0.134,0.27404,0.07154,0.0281,1.47481,2.10319,15.6931,1.2391,0,0.0018812,0.0018812,0.0018812
5,22.1281,1.81288,2.19143,3.32589,1.15906,0,0.46086,0.40385,0.27344,0.11659,0.41367,0.35616,0.22794,0.0942,1.19527,1.39411,8.01971,1.00382,0,0.0018416,0.0018416,0.0018416
6,25.7924,1.92357,2.12919,2.04165,1.16779,0,0.46716,0.49317,0.38691,0.17296,0.41159,0.4375,0.31395,0.11614,1.11258,1.2697,7.2092,0.98361,0,0.001802,0.001802,0.001802
7,29.418,2.00335,2.13728,2.87381,1.14431,0,0.67942,0.46635,0.47671,0.23624,0.6533,0.44231,0.42881,0.19038,1.15836,1.28301,7.07517,0.96634,0,0.0017624,0.0017624,0.0017624
8,33.3701,1.99399,1.99936,2.61231,1.11388,0,0.45009,0.4375,0.39106,0.22108,0.40003,0.38942,0.33962,0.17586,1.13449,1.16945,8.73621,0.97709,0,0.0017228,0.0017228,0.0017228
9,37.0619,1.8356,1.90759,2.55705,1.09537,0,0.47096,0.27885,0.27209,0.15426,0.49429,0.29808,0.31083,0.18921,1.1828,1.2384,8.22385,0.94729,0,0.0016832,0.0016832,0.0016832
10,40.747,1.8711,1.93108,2.63946,1.07737,0,0.48358,0.58527,0.48031,0.25339,0.51916,0.41827,0.40884,0.24209,1.08962,1.04782,9.75098,0.82522,0,0.0016436,0.0016436,0.0016436
11,44.3174,1.81328,1.88135,3.21526,1.00638,0,0.59539,0.5625,0.54722,0.27189,0.6329,0.45192,0.47697,0.2474,1.02587,1.02512,8.62679,0.80444,0,0.001604,0.001604,0.001604
12,48.073,1.80597,1.89185,2.31646,1.02534,0,0.57402,0.58173,0.56276,0.27184,0.54555,0.55288,0.5325,0.25876,0.96579,0.99837,6.93749,0.78079,0,0.0015644,0.0015644,0.0015644
13,51.9938,1.82922,1.87596,2.35329,1.07676,0,0.56054,0.51923,0.47148,0.26491,0.5154,0.46635,0.41574,0.21665,0.91839,1.12485,5.6554,0.79893,0,0.0015248,0.0015248,0.0015248
14,55.8982,1.56587,1.71521,2.67977,1.04845,0,0.7197,0.56782,0.59032,0.30604,0.6989,0.55769,0.58508,0.30656,1.01536,1.05765,4.22575,0.77725,0,0.0014852,0.0014852,0.0014852
